[876] NNDSS - TABLE 1U. Legionellosis to Listeriosis | pub=CDC | desc: NNDSS - TABLE 1U. Legionellosis to Listeriosis - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Note: This ta | cols: Leptospirosis, Cum 2019†, flag, Listeriosis, Cum 2019†, Listeriosis, Cum 2018†, Location 1 (city), Location 1 (state), Legionellosis, Cum 2018†, Legionellosis, Cum 2019†, Location 2 (zip), Location 2 (state), MMWR Year | tags: nedss, nndss, netss, wonder, legionellosis, leptospirosis
[965] NNDSS - TABLE 1II. Tetanus to Trichinellosis | pub=CDC | desc: NNDSS - TABLE 1II. Tetanus to Trichinellosis - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Note: This tabl | cols: Location 2 (zip), Location 1 (zip), Location 1 (address), Trichinellosis, Cum 2018†, flag, Toxic shock snydrome (other than streptococcal), Current week, flag, Trichinellosis, Cum 2018†, Tetanus, Cum 2018†, flag, Trichinellosis, Previous 52 weeks Max†, flag, Trichinellosis, Previous 52 weeks Max†, Toxic shock snydrome (other than streptococcal), Current week | tags: 2019, tetanus, nndss, netss, wonder, trichinellosis
[966] NNDSS - TABLE 1P.  Hemolytic uremic syndrome post-diarrheal to Hepatitis (viral, acute, by type), B | pub=CDC | desc: NNDSS - TABLE 1P. Hemolytic uremic syndrome post-diarrheal to Hepatitis (viral, acute, by type), B - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S | cols: MMWR Week, MMWR Year, Hemolytic uremic snydrome, post-diarrheal, Current week, Hepatitis (viral, acute, by type)  B, Previous 52 weeks Max†, flag, Hepatitis (viral, acute, by type)  A, Cum 2019†, flag, Reporting Area, Hepatitis (viral, acute, by type)  A, Previous 52 weeks Max†, flag, Hepatitis (viral, acute, by type)  A, Previous 52 weeks Max†, Hepatitis (viral, acute, by type)  B, Cum 2018†, Location 2 (state) | tags: by type) a, acute, 2019, hemolytic uremic syndrome post-diarrheal, hepatitis (viral, nedss
[967] NNDSS - TABLE 1MM. Viral hemorrhagic fevers, Crimean-Congo hemorrhagic fever virus to Guanarito viru | pub=CDC | desc: NNDSS - TABLE 1MM. Viral hemorrhagic fevers, Crimean-Congo hemorrhagic fever virus to Guanarito virus - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States,  | cols: Viral hemorrhagic fevers§, Crimean-Congo hemorrhagic fever virus, Previous 52 weeks Max†, Viral hemorrhagic fevers§, Ebola virus, Cum 2018†, flag, Viral hemorrhagic fevers§, Guanarito virus, Previous 52 weeks Max†, flag, Viral hemorrhagic fevers§, Guanarito virus, Current week, flag, Location 2 (state), Location 1 (zip), Location 2 (address), Location 2 (zip), Viral hemorrhagic fevers§, Ebola virus, Previous 52 weeks Max†, Viral hemorrhagic fevers§, Ebola virus, Current week | tags: nedss, guanarito virus, ebola virus, crimean-congo hemorrhagic fever virus, 2019, netss
[968] NNDSS - TABLE 1NN. Viral hemorrhagic fevers, Junin virus to Viral hemorrhagic fevers, Lujo virus | pub=CDC | desc: NNDSS - TABLE 1NN. Viral hemorrhagic fevers, Junin virus to Viral hemorrhagic fevers, Lujo virus - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S.  | cols: Viral hemorrhagic fevers§, Junin virus, Cum 2019†, Viral hemorrhagic fevers§, Lassa virus, Cum 2018†, Viral hemorrhagic fevers§, Lujo virus, Current week, Reporting Area, MMWR Year, MMWR Week, Viral hemorrhagic fevers§, Lujo virus, Cum 2019†, flag, Viral hemorrhagic fevers§, Lujo virus, Cum 2018†, Location 1 (address), Location 1 (state) | tags: nndss, nedss, netss, lujo virus, lassa virus, junin virus
[969] NNDSS - TABLE 1AA.  Poliovirus infection, nonparalytic to Psittacosis | pub=CDC | desc: NNDSS - TABLE 1AA. Poliovirus infection, nonparalytic to Psittacosis - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. re | cols: Poliovirus infection, nonparalytic, Previous 52 weeks Max†, flag, Reporting Area Sort, Location 2 (state), Location 1 (state), Psittacosis, Cum 2018†, flag, Psittacosis, Cum 2018†, Psittacosis, Cum 2019†, Psittacosis, Previous 52 weeks Max†, Psittacosis, Current week, Poliovirus infection, nonparalytic, Previous 52 weeks Max† | tags: nonparalytic, netss, nedss, 2019, wonder, psittacosis
[970] NNDSS - TABLE 1BB. Q fever, Total to Q fever, Chronic | pub=CDC | desc: NNDSS - TABLE 1BB. Q fever, Total to Q fever, Chronic - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Note:  | cols: Q fever, Chronic, Cum 2019†, Location 2, Q fever, Acute, Cum 2019†, flag, Q fever, Total, Current week, Location 2 (address), Location 1 (state), Location 1 (address), Q fever, Chronic, Cum 2018†, Q fever, Chronic, Cum 2019†, flag, Q fever, Chronic, Previous 52 weeks Max†, flag | tags: wonder, 2019, nedss, netss, nndss, q fever
[971] NNDSS - TABLE 1EE. Salmonella Paratyphi infection to Salmonellosis (excluding Salmonella Typhi infec | pub=CDC | desc: NNDSS - TABLE 1EE. Salmonella Paratyphi infection to Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection) - 2019. In this Table, provisional cases* of notifiable dis | cols: Salmonella Paratyphi infection§, Current week, flag, Salmonella Paratyphi infection§, Previous 52 weeks Max†, flag, Location 2 (address), Salmonella Paratyphi infection§, Previous 52 weeks Max†, MMWR Year, Location 2, Location 1, Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection**), Cum 2018†, Location 2 (zip), Location 2 (city) | tags: wonder, nedss, netss, nndss, salmonella paratyphi infection, 2019
[972] NNDSS - TABLE 1AA.  Poliovirus infection, nonparalytic to Psittacosis | pub=CDC | desc: NNDSS - TABLE 1AA. Poliovirus infection, nonparalytic to Psittacosis - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. re | cols: Reporting Area, Psittacosis, Cum 2018†, flag, Psittacosis, Cum 2019†, flag, Psittacosis, Cum 2019†, Psittacosis, Previous 52 weeks Max†, Poliovirus infection, nonparalytic, Cum 2019†, flag, Poliovirus infection, nonparalytic, Cum 2018†, MMWR Year, Poliovirus infection, nonparalytic, Cum 2019†, Psittacosis, Current week | tags: wonder, poliovirus infection, nonparalytic, nndss, netss, nedss
[973] NNDSS - TABLE 1G. Carbapenemase-producing carbapenem-resistant Enterobacteriaceae to Chancroid | pub=CDC | desc: NNDSS - Table 1G. Carbapenemase-producing carbapenem-resistant Enterobacteriaceae to Chancroid - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. te | cols: MMWR Year, Chancroid, Cum 2018†, flag, Location 1 (zip), Location 1 (state), Location 2 (address), Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2019†, Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2019†, flag, Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2018†, Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2018†, flag, Chlamydia trachomatis infection, Current week | tags: chlamydia trachomatis infection, wonder, nndss, netss, nedss, 2019
[974] NNDSS - TABLE 1N. Haemophilus influenzae, invasive disease, Age <5 years, Non-b serotype to Unknown  | pub=CDC | desc: NNDSS - TABLE 1N. Haemophilus influenzae, invasive disease, Age <5 years, Non-b serotype to Unknown serotype - 2022. In this Table, provisional cases* of notifiable diseases are displayed for United S | cols: Haemophilus influenza, invasive disease, Age <5 years, Unknown serotype, Cum 2022†, flag, Haemophilus influenza, invasive disease, Age <5 years, Nontypeable, Cum 2022†, flag, Haemophilus influenza, invasive disease, Age <5 years, Non-b serotype, Current week, flag, Haemophilus influenza, invasive disease, Age <5 years, Nontypeable, Previous 52 weeks Max†, Haemophilus influenza, invasive disease, Age <5 years, Nontypeable, Cum 2021†, Haemophilus influenza, invasive disease, Age <5 years, Nontypeable, Cum 2022†, Haemophilus influenza, invasive disease, Age <5 years, Nontypeable, Current week, flag, Haemophilus influenza, invasive disease, Age <5 years, Non-b serotype, Cum 2021†, flag, Haemophilus influenza, invasive disease, Age <5 years, Unknown serotype, Cum 2022†, Haemophilus influenza, invasive disease, Age <5 years, Unknown serotype, Cum 2021†, flag | tags: nontypeable, nndss, netss, nedss, invasive disease, haemophilus influenzae
[975] NNDSS - TABLE 1I. Cryptosporidiosis to Cyclosporiasis | pub=CDC | desc: NNDSS - Table 1I. Cryptosporidiosis to Cyclosporiasis - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Note:  | cols: Reporting Area, Location 1 (address), Cryptosporidiosis, Cum 2019†, flag, Cryptosporidiosis, Current week, flag, Location 2 (zip), MMWR Week, Location 1, Cyclosporiasis, Cum 2018†, flag, Cyclosporiasis, Cum 2019†, MMWR Year | tags: nndss, nedss, 2019, cryptosporidiosis, cyclosporiasis, wonder
[976] NNDSS - TABLE 1A. Anthrax to Arboviral diseases, Eastern equine encephalitis virus disease | pub=CDC | desc: NNDSS - TABLE 1A. Anthrax to Arboviral diseases, Eastern equine encephalitis virus disease – 2022. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territ | cols: Arboviral diseases, Eastern equine encephalitis virus disease, Previous 52 weeks Max†, flag, MMWR Week, Anthrax, Current week, Anthrax, Current week, flag, Arboviral diseases, Chikungunya virus disease, Cum 2022†, flag, Arboviral diseases, Eastern equine encephalitis virus disease, Current week, Anthrax, Previous 52 weeks Max†, flag, Anthrax, Cum 2022†, Anthrax, Cum 2022†, flag, Arboviral diseases, Chikungunya virus disease, Previous 52 weeks Max† | tags: 2022, wonder, nndss, netss, nedss, eastern equine encephalitis virus disease
[979] NNDSS - TABLE 1LL. Vibriosis, Confirmed to Vibriosis, Probable | pub=CDC | desc: NNDSS - TABLE 1LL. Vibriosis, Confirmed to Vibriosis, Probable - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. resident | cols: Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2019†, Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2018†, Location 1 (state), Location 2 (state), Location 1 (city), Location 2 (zip), Location 1 (zip), Location 2 (city), Location 2 (address), Location 1 | tags: vibriosis confirmed, nedss, netss, nndss, 2019, vibriosis probable
[981] NNDSS - TABLE 1JJ. Tularemia to  Vancomycin-intermediate Staphylococcus aureus | pub=CDC | desc: NNDSS - TABLE 1JJ. Tularemia to Vancomycin-intermediate Staphylococcus aureus - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and No | cols: Location 1, Vancomycin-intermediate Staphylococcus aureus, Cum 2019†, Tularemia, Previous 52 weeks Max†, Tularemia, Cum 2019†, Tularemia, Cum 2018†, Vancomycin-intermediate Staphylococcus aureus, Cum 2018†, Location 1 (state), Vancomycin-intermediate Staphylococcus aureus, Current week, Vancomycin-intermediate Staphylococcus aureus, Previous 52 weeks Max†, Location 1 (address) | tags: nedss, nndss, 2019, netss, tularemia, wonder
[982] NNDSS - TABLE 1X. Meningococcal disease, Other serogroups to Meningococcal disease, Unknown serogrou | pub=CDC | desc: NNDSS - TABLE 1X. Meningococcal disease, Other serogroups to Meningococcal disease, Unknown serogroup - 2020. In this Table, provisional cases* of notifiable diseases are displayed for United States,  | cols: Reporting Area Sort, Meningococcal disease, Unknown serogroup, Previous 52 weeks Max†, Meningococcal disease, Other serogroups, Cum 2019†, flag, New Georeferenced Column, Meningococcal disease, Other serogroups, Previous 52 weeks Max†, Meningococcal disease, Other serogroups, Current week, flag, Meningococcal disease, Other serogroups, Current week, Meningococcal disease, Other serogroups, Cum 2020†, Meningococcal disease, Other serogroups, Previous 52 weeks Max†, flag, MMWR Year | tags: netss, nndss, other serogroups, wonder, nedss, 2020
[983] NNDSS - TABLE 1C. Arboviral diseases, St. Louis encephalitis virus to Western equine encephalitis vi | pub=CDC | desc: NNDSS - Table 1C. Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease to Western equine encephalitis virus disease - 2019. In this Table, provisional cases* o | cols: Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Cum 2018†, flag, Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Cum 2018†, Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Cum 2018†, flag, Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Cum 2019†, flag, Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Current week, flag, Location 1, Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Cum 2019†, Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Previous 52 weeks Max†, MMWR Week, Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Cum 2019† | tags: nndss, nedss, arboviral diseases, 2019, wonder, western equine encephalitis virus disease
[984] NNDSS - TABLE 1NN. Viral hemorrhagic fevers, Junin virus to Viral hemorrhagic fevers, Lujo virus | pub=CDC | desc: NNDSS - TABLE 1NN. Viral hemorrhagic fevers, Junin virus to Viral hemorrhagic fevers, Lujo virus - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S.  | cols: Viral hemorrhagic fevers§, Junin virus, Previous 52 weeks Max†, Viral hemorrhagic fevers§, Junin virus, Cum 2018†, Viral hemorrhagic fevers§, Lassa virus, Previous 52 weeks Max†, flag, Viral hemorrhagic fevers§, Lassa virus, Cum 2019†, Viral hemorrhagic fevers§, Lassa virus, Cum 2019†, flag, Viral hemorrhagic fevers§, Lujo virus, Previous 52 weeks Max†, Reporting Area, MMWR Year, Viral hemorrhagic fevers§, Junin virus, Cum 2019†, flag, Viral hemorrhagic fevers§, Junin virus, Cum 2018†, flag | tags: lassa virus, nedss, wonder, viral hemorrhagic fevers, lujo virus, junin virus
[985] NNDSS - TABLE 1DD. Rubella to Rubella, congenital syndrome | pub=CDC | desc: NNDSS - TABLE 1DD. Rubella to Rubella, congenital syndrome - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. N | cols: Rubella, Cum 2019†, Location 2 (state), Location 1 (zip), Rubella, Cum 2018†, flag, Rubella, Previous 52 weeks Max†, Location 1, Rubella, congenital syndrome, Cum 2018†, flag, Location 1 (state), Rubella, congenital syndrome, Current week, flag, Rubella, congenital syndrome, Current week | tags: 2019, netss, wonder, nndss, rubella congenital syndrome, rubella
[987] NNDSS - TABLE 1O. Hansen's disease to Hantavirus pulmonary syndrome | pub=CDC | desc: NNDSS - TABLE 1O. Hansen's disease to Hantavirus pulmonary syndrome - 2022. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. res | cols: Hantavirus pulmonary syndrome, Cum 2022†, flag, Hantavirus infection, non-hantavirus pulmonary syndrome§, Previous 52 weeks Max†, Hantavirus infection, non-hantavirus pulmonary syndrome§, Cum 2022†, flag, Hantavirus infection, non-hantavirus pulmonary syndrome§, Cum 2021†, Hantavirus infection, non-hantavirus pulmonary syndrome§, Cum 2021†, flag, Hantavirus pulmonary syndrome, Current week, Hantavirus pulmonary syndrome, Previous 52 weeks Max†, flag, Hantavirus pulmonary syndrome, Cum 2021†, Hantavirus pulmonary syndrome, Cum 2021†, flag, Hansen's Disease, Current week, flag | tags: nedss, hantavirus infection, netss, wonder, 2022, non-hantavirus pulmonary syndrome
[989] NNDSS - TABLE 1M. Gonorrhea to Haemophilus influenzae, invasive disease, Age <5 years, Serotype b | pub=CDC | desc: NNDSS - TABLE 1M. Gonorrhea to Haemophilus influenzae, invasive disease, Age <5 years, Serotype b - 2022. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. | cols: Gonorrhea, Cum 2022†, flag, geocode, Reporting Area Sort, Location 2, Haemophilus influenza, invasive disease, All ages, all serotypes, Cum 2021†, Haemophilus influenza, invasive disease, All ages, all serotypes, Cum 2022†, Haemophilus influenza, invasive disease, All ages, all serotypes, Current week, flag, Haemophilus influenza, invasive disease, All ages, all serotypes, Current week, Gonorrhea, Previous 52 weeks Max†, Gonorrhea, Current week | tags: gonorrhea, nndss, all ages all serotypes, 2022, age <5 years serotype b, invasive disease
[990] NNDSS - TABLE 1L. Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection to Giardiasis | pub=CDC | desc: NNDSS - Table 1L. Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection to Giardiasis - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territ | cols: Location 2 (zip), MMWR Year, Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Current week, flag, Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Previous 52 weeks Max†, flag, Giardiasis, Previous 52 weeks Max†, flag, Ehrlichiosis and Anaplasmosis, Undetermined, Cum 2018†, flag, Ehrlichiosis and Anaplasmosis, Undetermined, Cum 2018†, Ehrlichiosis and Anaplasmosis, Undetermined, Cum 2019†, Giardiasis, Current week, flag, Giardiasis, Cum 2018† | tags: netss, 2019, ehrlichia ewingii infection, ehrlichiosis and anaplasmosis, giardiasis, nedss
[991] NNDSS - TABLE 1C. Arboviral diseases, St. Louis encephalitis virus to Western equine encephalitis vi | pub=CDC | desc: NNDSS - Table 1C. Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease to Western equine encephalitis virus disease - 2019. In this Table, provisional cases* o | cols: Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Cum 2019†, Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Cum 2019†, Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Previous 52 weeks Max†, flag, Location 1 (zip), Reporting Area Sort, Location 2 (state), Location 1 (state), Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Previous 52 weeks Max†, Reporting Area, MMWR Week | tags: arboviral diseases, st. louis encephalitis virus disease, nndss, nedss, 2019, wonder
[992] NNDSS - TABLE 1X. Meningococcal disease,  Other serogroups to Meningococcal disease, Unknown serogro | pub=CDC | desc: NNDSS - TABLE 1X. Meningococcal disease, Other serogroups to Meningococcal disease, Unknown serogroup - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States,  | cols: Reporting Area, Location 1 (state), Location 2 (state), Location 1 (zip), Meningococcal disease, Other serogroups, Cum 2019†, flag, Meningococcal disease, Other serogroups, Cum 2018†, Meningococcal disease, Unknown serogroup, Cum 2019†, Meningococcal disease, Unknown serogroup, Cum 2019†, flag, Location 1, Location 2 (address) | tags: netss, nedss, meningococcal disease, 2019, other serogroups, wonder
[993] NNDSS - TABLE 1S. Invasive pneumococcal disease, all ages, Confirmed to Invasive pneumococcal diseas | pub=CDC | desc: NNDSS - TABLE 1S. Invasive pneumococcal disease, all ages, Confirmed to Invasive pneumococcal disease, all ages, Probable - 2019. In this Table, provisional cases* of notifiable diseases are displayed | cols: Location 1 (city), Location 1 (state), Invasive pneumococcal disease, all ages§, Confirmed, Cum 2019†, flag, Invasive pneumococcal disease, all ages§, Probable, Cum 2018†, flag, Location 2 (state), Invasive pneumococcal disease, all ages§, Probable, Previous 52 weeks Max†, Invasive pneumococcal disease, all ages§, Probable, Previous 52 weeks Max†, flag, Reporting Area, Invasive pneumococcal disease, all ages§, Confirmed, Cum 2018†, Invasive pneumococcal disease, all ages§, Probable,  Cum 2018† | tags: all ages, confirmed, wonder, probable, nndss, netss
[994] NNDSS - Table 1D. Arboviral diseases, Western equine encephalitis virus disease to Babesiosis | pub=CDC | desc: NNDSS - Table 1D. Arboviral diseases, Western equine encephalitis virus disease to Babesiosis - 2022. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. ter | cols: MMWR Week, Arboviral diseases, Western equine encephalitis virus disease, Cum 2022†, Arboviral diseases, Western equine encephalitis virus disease, Current week, States, Counties, Arboviral diseases, Western equine encephalitis virus disease, Previous 52 weeks Max†, Babesiosis, Previous 52 weeks Max†, flag, Arboviral diseases, Western equine encephalitis virus disease, Cum 2022†, flag, Babesiosis, Cum 2022†, Arboviral diseases, Western equine encephalitis virus disease, Cum 2021† | tags: arboviral diseases, 2022, nndss, netss, wonder, nedss
[995] NNDSS - TABLE 1S. Invasive pneumococcal disease, all ages, Confirmed to Invasive pneumococcal diseas | pub=CDC | desc: NNDSS - TABLE 1S. Invasive pneumococcal disease, all ages, Confirmed to Invasive pneumococcal disease, all ages, Probable - 2022. In this Table, provisional cases* of notifiable diseases are displayed | cols: Invasive pneumococcal disease, all ages§, Confirmed, Cum 2022†, flag, Reporting Area Sort, Location 2, Location 1, Invasive pneumococcal disease, all ages§, Probable,  Cum 2021†, Invasive pneumococcal disease, all ages§, Probable,  Cum 2022†, Invasive pneumococcal disease, all ages§, Confirmed, Cum 2021†, flag, Invasive pneumococcal disease, all ages§, Confirmed, Current week, flag, MMWR Year, Invasive pneumococcal disease, all ages§, Confirmed, Previous 52 weeks Max† | tags: nedss, 2022, nndss, netss, wonder, invasive pneumococcal disease
[997] NNDSS - Table 1I. Cryptosporidiosis to Cyclosporiasis | pub=CDC | desc: NNDSS - Table 1I. Cryptosporidiosis to Cyclosporiasis NNDSS - Table 1I. Cryptosporidiosis to Cyclosporiasis - 2022. In this Table, provisional cases* of notifiable diseases are displayed for United St | cols: Location 2, Reporting Area Sort, Location 1, Cryptosporidiosis, Cum 2022†, flag, Cryptosporidiosis, Cum 2022†, Cryptosporidiosis, Previous 52 weeks Max†, MMWR Year, Reporting Area, Cyclosporiasis, Cum 2021†, flag, Cyclosporiasis, Cum 2021† | tags: cyclosporiasis, 2022, cryptosporidiosis, nedss, netss, nndss
[999] NNDSS - TABLE 1BB. Q fever, Total to Q fever, Chronic | pub=CDC | desc: NNDSS - TABLE 1BB. Q fever, Total to Q fever, Chronic - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Note:  | cols: Q fever, Acute, Current week, Q fever, Total, Cum 2018†, flag, Location 1 (city), Location 1 (address), Q fever, Chronic, Cum 2018†, Location 1, Location 1 (state), Location 2 (state), Location 2 (city), Location 2 (address) | tags: nedss, total, q fever chronic, q fever acute, q fever, nndss
